Date,Pressure 300 UTC,Pressure 1200 UTC ,Humidity 300UTC,Humidity 1200UTC,Max Temp,Min Temp,Precipitation,Wind Direction 300 UTC Degree,WD 1200 UTC,Wind Speed 300 UTC,Wind Speed 1200utc,heat event
01/03/2018,988.1,985.8,68,50,29.5,17.8,0,W,N,4,6,0
02/03/2018,986,983.4,80,47,26,16,0.2,NE,NE,4,4,0
03/03/2018,983.9,983.6,77,80,29,16.5,0,C,C,0,0,0
04/03/2018,985.3,984.9,83,47,22.5,13.5,1.9,C,NW,0,4,0
05/03/2018,989.1,988,79,42,26.5,14,0,C,SW,0,2,0
06/03/2018,990,988.3,75,33,27.5,15,0,C,SW,0,4,0
07/03/2018,987.9,986.7,71,33,28.4,16.6,0,C,W,0,4,0
08/03/2018,990.2,987.2,71,43,29.3,16.5,0,C,N,0,4,0
09/03/2018,989.9,988.7,66,39,30.6,16.5,0,C,N,0,2,0
10/03/2018,989.1,987,63,42,29.5,16.8,0,C,NW,0,8,0
11/03/2018,986.8,985.4,72,39,29.3,18.5,0,C,NW,0,4,0
12/03/2018,987.5,985.5,77,50,30.6,18,0,C,W,0,2,0
13/03/2018,985.8,982.4,77,43,31,19,0,C,E,0,2,0
14/03/2018,983.3,980.5,56,46,33,19.4,0,NE,SW,4,8,0
15/03/2018,984.2,983.5,72,49,31.5,18.4,1.3,C,NE,0,4,0
16/03/2018,986.2,984.8,62,31,31,16.5,0,C,W,0,4,0
17/03/2018,986.6,985.3,62,31,30,17,0,C,NW,0,6,0
18/03/2018,987.8,986.6,63,30,30.2,17,0,C,NW,0,4,0
19/03/2018,989.9,988.2,64,36,31,17.5,0,C,NW,0,4,0
20/03/2018,987.3,984.4,65,45,31.2,19.6,0,C,NW,0,4,0
21/03/2018,987,984.8,85,75,27,16,9.1,SW,NW,6,4,0
22/03/2018,987,984.7,75,49,23.5,14,6.7,N,NW,4,4,0
23/03/2018,986.3,984.8,71,40,27,16.3,0,C,NW,0,4,0
24/03/2018,988.9,988.3,65,38,30,17.8,0,C,SW,0,8,0
25/03/2018,990.4,988.2,65,37,31.3,19.4,0,C,NW,0,6,0
26/03/2018,989,985.1,62,32,32.2,20.2,0,C,SW,0,2,0
27/03/2018,984.5,982.3,66,27,33.7,19.6,0,C,C,0,0,1
28/03/2018,984.4,983.7,67,20,34,21,0,N,W,2,8,1
29/03/2018,983.5,980.4,50,19,34.5,22.5,0,W,SW,4,4,1
30/03/2018,980.6,978.9,27,26,35.4,21,0,C,SW,0,2,1
31/03/2018,981.5,981.1,51,44,36.5,19.6,0,C,NE,0,4,1
01/04/2018,985.8,983.1,59,39,33.2,21,0,SE,SE,2,4,1
02/04/2018,985.4,983.7,60,43,33.4,21.7,0,C,C,0,0,1
03/04/2018,985.7,982.5,65,41,33.6,23.5,0,C,N,0,2,1
04/04/2018,983.8,979.9,60,32,33.2,22.5,0,C,W,0,2,1
05/04/2018,982,978.7,57,31,35.9,23,0,C,SW,0,4,1
06/04/2018,982.7,979.9,61,28,34.8,23.5,0,C,NW,0,4,1
07/04/2018,985.9,982.1,53,32,35.5,22,0,C,C,0,0,1
08/04/2018,984.8,982.6,64,42,35.6,22.7,0,SE,NE,2,4,1
09/04/2018,986.6,984,70,49,34.6,20.2,0,S,N,4,2,1
10/04/2018,985.5,981.7,72,45,33.6,21.8,0,C,N,0,6,1
11/04/2018,986.6,982.3,77,42,31.6,18.5,1.2,N,NE,6,4,0
